Title,Link,Authors,Conference,Year
Upper limits on bolometric luminosities of three Type Ia supernova progenitors: new results in the ongoing Chandra archival search for Type Ia supernova progenitors,/document/8181143/,"M. T. B. Nielsen;
R. Voss;
G. Nelemans",Monthly Notices of the Royal Astronomical Society,Year: 2013
Discovery of 90 Type Ia supernovae among 700 000 Sloan spectra: the Type Ia supernova rate versus galaxy mass and star formation rate at redshift ∼0.1,/document/8184275/,"Or Graur;
Dan Maoz",Monthly Notices of the Royal Astronomical Society,Year: 2013
The fraction of type Ia supernovae exploding inside planetary nebulae (SNIPs),/document/8181440/,"Danny Tsebrenko;
Noam Soker",Monthly Notices of the Royal Astronomical Society,Year: 2015
Berkeley Supernova Ia Program – V. Late-time spectra of Type Ia Supernovae,/document/8185828/,"Jeffrey M. Silverman;
Mohan Ganeshalingam;
Alexei V. Filippenko",Monthly Notices of the Royal Astronomical Society,Year: 2013
Heavy axion-like particles and MeV decay photons from nearby type Ia supernovae,/document/9623694/,Kanji Mori,Publications of the Astronomical Society of Japan,Year: 2021
The 1.05-μm feature in the spectrum of the Type Ia supernova 1994D: He in SNe Ia?,/document/8157720/,"P. A. Mazzali;
L. B. Lucy",Monthly Notices of the Royal Astronomical Society,Year: 1998
Photometric study of type Ia supernova SN 2002hu,/document/8173947/,"D. K. Sahu;
G. C. Anupama;
T. P. Prabhu",Monthly Notices of the Royal Astronomical Society,Year: 2006
Photometric and spectroscopic study of a highly reddened type Ia supernova SN 2003hx in NGC 2076,/document/8150541/,"Kuntal Misra;
D. K. Sahu;
G. C. Anupama;
Kavita Pandey",Monthly Notices of the Royal Astronomical Society,Year: 2008
Search for Type Ia supernova NUV–optical subclasses,/document/8185388/,"David Cinabro;
Daniel Scolnic;
Richard Kessler;
Ashley Li;
Jake Miller",Monthly Notices of the Royal Astronomical Society,Year: 2016
Berkeley supernova Ia program: data release of 637 spectra from 247 Type Ia supernovae,/document/9114185/,"Benjamin E Stahl;
WeiKang Zheng;
Thomas de Jaeger;
Thomas G Brink;
Alexei V Filippenko;
Jeffrey M Silverman;
S Bradley Cenko;
Kelsey I Clubb;
Melissa L Graham;
Goni Halevi;
Patrick L Kelly;
Io Kleiser;
Isaac Shivvers;
Heechan Yuk;
Bethany E Cobb;
Ori D Fox;
Michael T Kandrashoff;
Jason J Kong;
Jon C Mauerhan;
Xianggao Wang;
Xiaofeng Wang",Monthly Notices of the Royal Astronomical Society,Year: 2019
Constraining the equation of state of the Universe from distant Type Ia supernovae and cosmic microwave background anisotropies,/document/8209970/,G. Efstathiou,Monthly Notices of the Royal Astronomical Society,Year: 1999
Constraints on ΩΛ and Ωm from distant Type Ia supernovae and cosmic microwave background anisotropies,/document/8135215/,"G. Efstathiou;
S. L. Bridle;
A. N. Lasenby;
M. P. Hobson;
R. S. Ellis",Monthly Notices of the Royal Astronomical Society,Year: 1999
